exprid,N10000M5alpha50_Time,N10000M5alpha50_NC,N10000M5alpha50_MM,N10000M10alpha50_Time,N10000M10alpha50_NC,N10000M10alpha50_MM,N10000M50alpha50_Time,N10000M50alpha50_NC,N10000M50alpha50_MM,N10000M100alpha50_Time,N10000M100alpha50_NC,N10000M100alpha50_MM,N10000M5alpha70_Time,N10000M5alpha70_NC,N10000M5alpha70_MM,N10000M10alpha70_Time,N10000M10alpha70_NC,N10000M10alpha70_MM,N10000M50alpha70_Time,N10000M50alpha70_NC,N10000M50alpha70_MM,N10000M100alpha70_Time,N10000M100alpha70_NC,N10000M100alpha70_MM
25,16.236560952999998,-122.76398912383553,0.4571635206524073,15.077430459,-121.56813573915528,0.42147981862033257,14.326000485,-113.1867305911974,0.40336764623879634,13.582342133000001,-112.06968391657422,0.3861377565876569,31.954500148,-122.49416160687761,0.4373335657308845,24.043111263,-121.61867597691322,0.43421736348959117,20.240405763000002,-114.4011849504711,0.4183009696961639,19.71288453,-112.78798757827913,0.42007291277958037
26,21.333553382,-123.97761420408519,0.41192609457155605,23.132531692,-120.81648140829124,0.41609822981659267,21.279134493,-115.10713801741218,0.4342306934441538,34.463616472999995,-114.34622068156895,0.40973573839932786,45.632200109,-123.0523378815651,0.4149714925948672,34.709584318,-120.02199414220459,0.4479273174284639,30.275642964000003,-114.81511197260075,0.41835564214283677,46.093485021,-113.02329767413735,0.38941104401557863
27,16.990427502,-124.56564162964922,0.4309347231691453,16.321097779000002,-119.77757173414851,0.44855224736304666,14.863069775000001,-114.59713593140894,0.42321932156303743,25.444792975,-113.63577187805657,0.3788367244661464,37.918400038,-123.19715234972627,0.399850262054101,37.486166748,-121.59381830076046,0.4351782449056819,21.262500513,-114.31768682347979,0.41601762641556683,35.309465118,-113.10823711605052,0.402356040835419
28,16.249985246,-122.71230111931243,0.43524804124953886,15.788179851000002,-121.189905409194,0.4087081504821381,14.868155065,-114.68951827178542,0.3990301126471376,22.580230461,-112.18931583427678,0.41063349855816056,32.285750322,-123.04390141939103,0.4124138671243291,36.643697167,-121.49077352779364,0.4443484207987349,21.28364795,-114.29755770107535,0.40659017805468955,32.873746981,-112.92598855417967,0.42988395542559954
29,16.311081627999997,-122.89741155644371,0.4192109310489094,19.526044193,-120.52607841159701,0.45847227383346767,15.612194866999998,-115.65840449163433,0.4030849707406696,13.678837576,-110.43477166731175,0.3860284697814018,24.77342893,-122.0369053594406,0.44487489125911206,26.432196846999997,-120.14994396846676,0.43254182126517465,24.498685308000002,-114.72381815714638,0.40337485764375947,21.337737562,-111.65971794601279,0.40872852593189324
30,21.065497085999997,-123.79321191502822,0.43226669821072194,16.407285738,-119.55879990148539,0.4266574567890334,15.463350072,-115.64897163766722,0.39979608048312476,13.679362173,-113.21705126974764,0.3694111293657292,22.358376142,-122.5664414432917,0.4165317896118981,22.120509048000002,-119.77789812333127,0.41927230353877926,25.69173659,-113.97009581189049,0.4310386657734726,19.563683385999997,-115.18801072000346,0.4346801861078823
31,22.582218307,-121.89961905602242,0.42707202684820655,22.180583253,-120.16342005903904,0.44424224505340915,23.170623929999998,-115.08724255069257,0.43689077314541386,21.090858013,-113.82745945983899,0.38970865498333596,34.071521488,-124.02905314167452,0.473303473217776,42.947462914,-121.01580314283459,0.41598154272125065,32.860482683,-113.79146997373557,0.4172951864845672,29.415166924,-113.06642634291188,0.4059383737206566
32,15.557399095,-123.15650883724905,0.4297254789020662,21.072583209,-121.63817506453954,0.43719438783114734,17.494820868,-116.23289167652537,0.42680056334825917,14.89889713,-111.54134298622795,0.3992370171622711,23.119225234,-122.12439761518702,0.43721681997217243,24.534969005,-121.30530299446382,0.44418055243546706,21.520920634,-115.58558947208701,0.39461828785784936,23.743854409999997,-112.6985178873161,0.41467876296933937
33,16.273389638999998,-123.04388463785659,0.42533286666668835,17.5700179,-121.07139473187914,0.4461315098706097,16.837460099,-112.76913815815027,0.41755916764007517,14.922782157,-112.84900630423927,0.3629603183910122,25.989461959,-123.11835000801658,0.43534296227868186,32.387407124999996,-120.43089991153617,0.4388745797310212,22.152794132,-114.18466178833948,0.43209084864469127,21.589550255,-111.61236465308045,0.43701572276831874
34,16.236800211,-122.27491647774144,0.45959900521567976,17.999261483,-119.7532626144749,0.4229946932307004,14.776007882999998,-114.47442575214119,0.39343552985688723,14.966548408,-115.41496634327548,0.40651414980968736,30.828594562,-122.82571947700198,0.39995218271764177,26.17567741,-119.88213365228097,0.42675092673044035,33.717891494,-115.64489287684579,0.40135862027086233,30.494119282,-112.52307791681937,0.4170600365798601
35,15.728425698999999,-122.77143435944643,0.4696641503425298,17.928304811,-121.19820381651654,0.4440431296994541,15.251084716000001,-116.16616522990378,0.40027061406141684,14.855311495,-111.68094193615511,0.40177629434627987,28.143273852,-123.19269204001479,0.45649513128831354,22.753353776,-121.14675645332609,0.4195766370612872,22.366734178999998,-115.83660778098177,0.42164107882104496,27.290903899,-111.77307954169382,0.4114207195597552
36,22.498776637,-123.96972007322213,0.44230738814689907,33.264179981,-121.20956030080946,0.41947363660881115,27.379739683,-116.05289845718687,0.39268919972954797,21.023927989,-113.9319595746168,0.4122643016615275,36.241889908,-122.25935213634831,0.4216981329429277,29.327066813000002,-121.29328225213312,0.4383934152357267,27.918482815,-115.32274449252041,0.4389349565731853,40.707920479,-112.84069778761084,0.4225530840765767
37,15.611414553000001,-122.33302227098541,0.45046652042833824,24.670970538,-121.50161810431003,0.43629279458550163,25.927900360000002,-114.24577514123443,0.4356917264979885,15.56590857,-113.52594502238432,0.40475678440517915,23.484145744,-123.22698501649377,0.4454602130587155,23.590272144000004,-120.46913182024669,0.46221893868055147,22.154788523,-114.74790823178081,0.43258240292378236,27.999048128,-114.944846902438,0.4240196023416001
